squadra,giocatore,prezzo,Riscatto,motivoRiscatto
Chentus,McTominay,122,Si,costo 147 contro FVM 215 - il miglior surplus della rosa; titolare inamovibile del Napoli di Allegri con Lobotka; vale uno slot O25 pieno
Chentus,Locatelli,9,Si,costo 10 per FVM 47 - regista titolare della Juve di Spalletti; rendimento da 50+ crediti pagato come un fondo scala
Chentus,Mancini,31,Si,costo 35 per FVM 54 - braccetto titolare nella difesa a 3 di Gasperini; bonus da palla inattiva e prezzo sotto mercato
Chentus,Casadei,11,Si,costo 13 e classe 2003 quindi occupa slot U25 non O25; titolare del Torino di Abate; margine di crescita altissimo
Chentus,Adzic,21,Si,costo 24 ma classe 2006 = slot U21 illimitato quindi non consuma nulla; passato al Sassuolo di Aquilani per giocare titolare
Chentus,Coco,1,dubbio,costo 1 per un titolare fisso del Torino sarebbe regalato; il problema è che è O25 e i 3 slot valgono di più su McTominay Locatelli e Mancini
Chentus,Pierotti,1,dubbio,costo 1 e titolare del Lecce di Di Francesco; stessa situazione di Coco - ottimo valore ma slot O25 esauriti
Chentus,Delprato,11,dubbio,costo 13 titolare del Parma di Cuesta; buon prezzo ma FVM 22 non giustifica bruciare uno slot O25
Chentus,Suzuki,13,dubbio,costo 15 portiere titolare del Parma; FVM solo 8 perche la difesa gialloblu subisce molto - meglio un portiere all asta
Chentus,Dovbyk,24,dubbio,costo 27 ed è passato al Bologna di Tedesco da titolare; FVM 8 lo svaluta ma il cambio squadra può rilanciarlo - scommessa
Chentus,Thuram,306,No,costo 398 contro FVM 270 - quasi il 40% del budget per un giocatore che vale meno di quanto costa; da lasciare e ricomprare all asta
Chentus,De Gea,85,No,costo 98 per FVM 28 - portiere fortissimo ma pagato tre volte il valore e la Fiorentina di Grosso ha cambiato tutta la difesa
Chentus,Bonazzoli,4,No,la Cremonese è retrocessa in Serie B quindi il giocatore esce dal listone
Compagnia Ascolana Sigari,Douvikas,24,Si,costo 27 contro FVM 200 - il singolo affare più clamoroso della lega; centravanti titolare del Como di Fabregas
Compagnia Ascolana Sigari,Hermoso,6,Si,costo 7 per FVM 25 - titolare nella difesa a 3 della Roma di Gasperini; prezzo irrisorio
Compagnia Ascolana Sigari,Cataldi,1,Si,costo 1 per FVM 17 - alla Lazio di Gattuso è chioccia del centrocampo; a questa cifra è impossibile sbagliare
Compagnia Ascolana Sigari,Atta,30,Si,costo 33 per FVM 85 e classe 2002 quindi slot U25; passato dall Udinese alla Fiorentina da titolare - salto di categoria
Compagnia Ascolana Sigari,Perrone,35,Si,costo 39 per FVM 50 classe 2003 slot U25; play titolare del Como accanto a Da Cunha
Compagnia Ascolana Sigari,Paleari,1,dubbio,costo 1 portiere titolare del Torino; valore assoluto ma è O25 e i 3 slot sono già presi da Douvikas Hermoso e Cataldi
Compagnia Ascolana Sigari,Frattesi,13,dubbio,costo 15 ed è passato alla Lazio dove Gattuso lo vede titolare; FVM 10 è vecchio e sottostima il nuovo ruolo
Compagnia Ascolana Sigari,Celik,5,dubbio,costo 6 ma con l arrivo di Molina alla Roma perde la fascia destra; buon prezzo scarsa titolarità
Compagnia Ascolana Sigari,Esposito F.P.,45,dubbio,costo 50 classe 2005 slot U25; all Inter è chiuso da Lautaro e Thuram ma il talento è da prima punta futura
Compagnia Ascolana Sigari,Ederson D.S.,46,dubbio,costo 53 per FVM 30 - titolare dell Atalanta ma con Sarri il centrocampo cambia principi e i bonus caleranno
Compagnia Ascolana Sigari,Bastoni,56,dubbio,costo 65 per FVM 40 - titolare Inter e difensore top ma il prezzo supera il valore di listino
Compagnia Ascolana Sigari,Soulè,187,No,costo 225 contro FVM 85 - titolare della Roma ma pagarlo un quinto del budget non ha senso; da riprendere all asta a meno
Compagnia Ascolana Sigari,Sommer,100,No,costo 115 per un portiere di 38 anni scaricato dall Inter dopo gli arrivi di Provedel e la promozione di Martinez
Compagnia Ascolana Sigari,Zambo Anguissa,50,No,costo 58 ed è in uscita dal Napoli; con Allegri gli inamovibili sono Lobotka e McTominay
MALLOREDDUS FC,Simeone,42,Si,costo 47 contro FVM 99 - passato al Torino di Abate come centravanti titolare; miglior rapporto valore prezzo della rosa
MALLOREDDUS FC,Fagioli,1,Si,costo 1 per FVM 35 - regista titolare della Fiorentina; a un credito è pura rendita
MALLOREDDUS FC,Rrahmani,25,Si,costo 28 per FVM 45 - centrale titolare del Napoli; difesa solida con Allegri e tanti clean sheet attesi
MALLOREDDUS FC,Tiago Gabriel,3,Si,costo 4 per FVM 25 classe 2004 slot U25; titolare del Lecce e in crescita costante
MALLOREDDUS FC,Obert,1,Si,costo 1 classe 2002 slot U25; titolare del Cagliari di Pisacane confermato
MALLOREDDUS FC,Colombo,31,Si,costo 35 classe 2002 slot U25; passato al Genoa di De Rossi come centravanti titolare - finalmente una maglia sua
MALLOREDDUS FC,Nicolussi Caviglia,1,dubbio,costo 1 e titolare del Parma; valore enorme ma è O25 e i 3 slot vanno su Simeone Fagioli e Rrahmani
MALLOREDDUS FC,Gabbia,10,dubbio,costo 11 titolare del Milan di Amorim nella difesa a 3; ottimo prezzo ma slot O25 esauriti
MALLOREDDUS FC,Wesley,50,dubbio,costo 58 per FVM 46 classe 2003; titolare della Roma sulla fascia ma il prezzo è già pieno
MALLOREDDUS FC,Thuram K.,69,dubbio,costo 80 per FVM 41 - titolare Juve ma si paga il nome più del rendimento fantacalcistico
MALLOREDDUS FC,Carnesecchi,92,dubbio,costo 106 per FVM 80 - portiere titolare Atalanta ma con Sarri e una difesa nuova i clean sheet sono un incognita
MALLOREDDUS FC,Orsolini,157,dubbio,costo 189 per FVM 150 - resta il top del Bologna ma quasi un quinto del budget su un 29enne
MALLOREDDUS FC,Kilicsoy,93,No,costo 107 per FVM 7 - al Cagliari è chiuso da Sebastiano Esposito e Borrelli; errore d asta da azzerare
MALLOREDDUS FC,Dumfries,79,No,costo 91 ed è stato ceduto dall Inter; fuori dal perimetro Serie A
MALLOREDDUS FC,Vardy,24,No,la Cremonese è retrocessa in Serie B
Mapi Group,Zaniolo,35,Si,costo 39 contro FVM 100 - titolare dell Udinese di Runjaic riscattato a titolo definitivo; il miglior surplus della rosa
Mapi Group,Ostigard,3,Si,costo 4 per FVM 50 - titolare della difesa del Genoa; a questa cifra è il classico riscatto obbligato
Mapi Group,Ekkelenkamp,16,Si,costo 18 per FVM 51 - mezzala titolare dell Udinese con licenza di inserimento; prezzo ridicolo
Mapi Group,Konè I.,1,Si,costo 1 per FVM 67 classe 2003 slot U25; al Sassuolo di Aquilani ha spazio - rendita a costo zero
Mapi Group,Diao,7,Si,costo 8 per FVM 30 classe 2003 slot U25; esterno titolare del Como di Fabregas
Mapi Group,Scalvini,19,Si,costo 21 classe 2003 slot U25; titolare della difesa a 4 di Sarri all Atalanta se tiene fisicamente
Mapi Group,Idzes,1,dubbio,costo 1 titolare del Sassuolo; valore netto ma è O25 e gli slot vanno su Zaniolo Ostigard ed Ekkelenkamp
Mapi Group,Lucumì,1,dubbio,costo 1 titolare del Bologna; identica situazione di Idzes - ottimo affare bloccato dagli slot
Mapi Group,N Dicka,33,dubbio,costo 37 per FVM 51 - titolare della Roma; buon margine ma serve uno slot O25 che vale di più altrove
Mapi Group,Svilar,103,dubbio,costo 124 per FVM 105 - miglior portiere della Serie A ma il prezzo è ormai pieno
Mapi Group,Konè M.,62,dubbio,costo 72 per FVM 39 - titolare Roma ma si paga oltre il valore di listino
